id	image_link	additional_image_link	link	title	product_category	description	price	availability	brand
PAP2531	https://static.wixstatic.com/media/1799ca_08cd410af0064f4a89f12772a3fa9c45~mv2.gif	https://static.wixstatic.com/media/1799ca_72e4394c2541483f9b963c9c77de3533~mv2.gif	https://www.artebarte.co.il/prints-posters	Pink Poppies	Art Prints,Illustrations,Portrait,Second Slider	Pink Poppies	95.00 ILS	in stock	ArteBarte
PAP2532	https://static.wixstatic.com/media/1799ca_b8e5bec04ef4440087a2d1f37d216091~mv2.jpg	https://static.wixstatic.com/media/1799ca_f62fa9d8112a497f93c814a023b3de99~mv2.jpg	https://www.artebarte.co.il/prints-posters	Wine & Dinner	Art Prints,Illustrations,Portrait	Wine & Dinner	95.00 ILS	in stock	ArteBarte
PAP2533	https://static.wixstatic.com/media/1799ca_29e1fc80d4594df9b29fed784937dd64~mv2.gif	https://static.wixstatic.com/media/1799ca_045f697aca124624a178c60c0300b179~mv2.gif	https://www.artebarte.co.il/prints-posters	Blue flowers with vase	Art Prints,Botanical,Illustrations,Line Art,Portrait	Blue flowers with vase	95.00 ILS	in stock	ArteBarte
PAP2534	https://static.wixstatic.com/media/1799ca_f936cae3d0b94d5587c5d517e2758206~mv2.jpg	https://static.wixstatic.com/media/1799ca_4908a90836a04e5397b71608d436dc16~mv2.jpg	https://www.artebarte.co.il/prints-posters	Beige Reverie	Art Prints,Boho,Painting,Portrait	Beige Reverie	95.00 ILS	in stock	ArteBarte
PAP2535	https://static.wixstatic.com/media/1799ca_47fe6ffbe907406d8bfc7cb723327f42~mv2.jpg	https://static.wixstatic.com/media/1799ca_8b2f35cb433d42949d3ec91b96901d21~mv2.gif	https://www.artebarte.co.il/prints-posters	Whispers of Sand	Art Prints,Boho,Painting,Portrait,Second Slider	Whispers of Sand	95.00 ILS	in stock	ArteBarte
PAP2536	https://static.wixstatic.com/media/1799ca_e6a3b8800a324bf6b88f5e782cea9f90~mv2.jpg	https://static.wixstatic.com/media/1799ca_e3bf4c6780b6427390dd5450ff966c2a~mv2.jpg	https://www.artebarte.co.il/prints-posters	There is no place like home	Art Prints,Boho,Portrait,Second Slider,Typography	There is no place like home	95.00 ILS	in stock	ArteBarte
PAP2537	https://static.wixstatic.com/media/1799ca_920dfcd38bd04c749daf474d9e7fec5d~mv2.jpg	https://static.wixstatic.com/media/1799ca_2d87a7ceff2c4824b60f1a11f7b84352~mv2.jpg	https://www.artebarte.co.il/prints-posters	Red Dance	Art Prints,Famous Artists,First Slider,Painting,Portrait,Red	Red Dance	95.00 ILS	in stock	ArteBarte
PAP2538	https://static.wixstatic.com/media/1799ca_30c5df7817f744b98e495db406d8a927~mv2.jpg	https://static.wixstatic.com/media/1799ca_4038a98c80ae4969835fcd46ac3623a5~mv2.jpg	https://www.artebarte.co.il/prints-posters	Flower Market - Tokyo	Art Prints,Botanical,Illustrations,Portrait	Flower Market - Tokyo	95.00 ILS	in stock	ArteBarte
PAP2539	https://static.wixstatic.com/media/1799ca_c818bedaf22b4f22b0d9ebb51e98c0a1~mv2.jpg	https://static.wixstatic.com/media/1799ca_992aee34f0724a478b9f578ee4470a08~mv2.jpg	https://www.artebarte.co.il/prints-posters	Nude With Oranges	Art Prints,Famous Artists,Painting,Portrait	Nude With Oranges	95.00 ILS	in stock	ArteBarte
PAP2540	https://static.wixstatic.com/media/1799ca_af1c7ab0d5df4b15a495bed6ac3c9d19~mv2.jpg	https://static.wixstatic.com/media/1799ca_8e110927fa0946999bc17e0b2e5023d6~mv2.jpg	https://www.artebarte.co.il/prints-posters	Beagle	Art Prints,Black & White,Line Art,Portrait	Beagle	95.00 ILS	in stock	ArteBarte
PAP2541	https://static.wixstatic.com/media/1799ca_9c675f167d4a4c3cab39b642ac66f032~mv2.jpg	https://static.wixstatic.com/media/1799ca_4112744ad9c14821a43611da95a17a74~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme I	Art Prints,First Slider,Portrait	La Boheme I	95.00 ILS	in stock	ArteBarte
PAP2542	https://static.wixstatic.com/media/1799ca_cd8f35794dad49d699fdebeeb61edbfa~mv2.jpg	https://static.wixstatic.com/media/1799ca_a28a7c8a3d724a3baed339f6be1c0cc5~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme III	Art Prints,Portrait	La Boheme III	95.00 ILS	in stock	ArteBarte
PAP2543	https://static.wixstatic.com/media/1799ca_67c491bebf5448cd901339df2df3ee60~mv2.gif	https://static.wixstatic.com/media/1799ca_f94e8ce180804f09b57bde5dc027cd05~mv2.gif	https://www.artebarte.co.il/prints-posters	Negroni	Art Prints,Dopamine,First Slider,Portrait,Red	Negroni	95.00 ILS	in stock	ArteBarte
PAP2544	https://static.wixstatic.com/media/1799ca_ddc4aeada4054051a9eb18a98a940008~mv2.jpg	https://static.wixstatic.com/media/1799ca_4c862e764fd642adae60b1a224439103~mv2.jpg	https://www.artebarte.co.il/prints-posters	Home sweet home	Art Prints,Boho,First Slider,Portrait,Typography	Home sweet home	95.00 ILS	in stock	ArteBarte
PAP2545	https://static.wixstatic.com/media/1799ca_310066388c1d42fc9c3d2b5a66cd0041~mv2.gif	https://static.wixstatic.com/media/1799ca_14f810cbf3f24b459bb74a6294497c70~mv2.gif	https://www.artebarte.co.il/prints-posters	Good food good mood	Art Prints,Boho,Portrait,Typography	Good food good mood	95.00 ILS	in stock	ArteBarte
PAP2546	https://static.wixstatic.com/media/1799ca_bd3ac8c7241d48969dfccd081ee74186~mv2.jpg	https://static.wixstatic.com/media/1799ca_4a0c7ef4751644009a23a1f712a353ba~mv2.jpg	https://www.artebarte.co.il/prints-posters	LP Bauhaus	Art Prints,Bauhaus,Portrait	LP Bauhaus	95.00 ILS	in stock	ArteBarte
PAP2547	https://static.wixstatic.com/media/1799ca_eb2a7c855e814b269abc36901026f97a~mv2.jpg	https://static.wixstatic.com/media/1799ca_1b4055f2b38b411daa87712322c8b902~mv2.jpg	https://www.artebarte.co.il/prints-posters	LP Bauhaus II	Art Prints,Bauhaus,Portrait	LP Bauhaus II	95.00 ILS	in stock	ArteBarte
PAP2548	https://static.wixstatic.com/media/1799ca_628deb9b6bff464aa434bbd73bfa5c39~mv2.jpg	https://static.wixstatic.com/media/1799ca_07b3322be9394ed39e9dbbfcea1eb096~mv2.jpg	https://www.artebarte.co.il/prints-posters	Black Bauhaus	Art Prints,Bauhaus,Portrait	Black Bauhaus	95.00 ILS	in stock	ArteBarte
PAP2548	https://static.wixstatic.com/media/1799ca_2e4f0d7540ab4f019a33a05052b35213~mv2.jpg	https://static.wixstatic.com/media/1799ca_df39fd9c11ff49d3ad09f955f61db9d6~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme II	Art Prints,Boho,Portrait	La Boheme II	95.00 ILS	in stock	ArteBarte
PAP2549	https://static.wixstatic.com/media/1799ca_9afb2694f3564d20a11a6dc664e0f893~mv2.jpg	https://static.wixstatic.com/media/1799ca_966e82cfa1c14ad090867cd235c90c1f~mv2.jpg	https://www.artebarte.co.il/prints-posters	Black Bauhaus I	Art Prints,Bauhaus,Portrait	Black Bauhaus I	95.00 ILS	in stock	ArteBarte
PAP2550	https://static.wixstatic.com/media/1799ca_f343389772a44a39bd54f9edb76a4528~mv2.jpg	https://static.wixstatic.com/media/1799ca_bfcf261c3879436e95d6935248f1575a~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Staircase	Art Prints,Bauhaus,Portrait	Bauhaus Staircase	95.00 ILS	in stock	ArteBarte
PAP2551	https://static.wixstatic.com/media/1799ca_4a3509b4b1404f4598ca5da2b9216819~mv2.jpg	https://static.wixstatic.com/media/1799ca_2783409b17e641278da50da05b7e28fb~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Text	Art Prints,Bauhaus,Portrait	Bauhaus Text	95.00 ILS	in stock	ArteBarte
PAP2552	https://static.wixstatic.com/media/1799ca_ab33d9cc1a334c2bb8cd32b5df5d11f3~mv2.jpg	https://static.wixstatic.com/media/1799ca_46ba03d1a83d417fb49a71fc33fb8d17~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Pink/Blue	Art Prints,Bauhaus,Portrait	Bauhaus Pink/Blue	95.00 ILS	in stock	ArteBarte
PAP2553	https://static.wixstatic.com/media/1799ca_f385595b6b7c403b809a24f489f3f9ac~mv2.jpg	https://static.wixstatic.com/media/1799ca_7453d755f84e455ba444340a13ca88c0~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Blue	Art Prints,Bauhaus,Portrait	Bauhaus Blue	95.00 ILS	in stock	ArteBarte
