type	productId	name	mainImageUrl	lifestyleUrl	moreImages	video/s	category	collection	artist	artistName	color	colorStory	single/bundle	quantity	keywords	room	ribbon	bio	emotionalEnergy	scale	meaning	downloadLinkUrl	originalPrice	discount	newPrice
Product	1000067	Bauhaus 05	1799ca_d55334f439f243ad972327ac243f5dff~mv2.jpg	1799ca_ca2de9a980a14eddb8c46d32f1e46639~mv2.jpg			Bauhaus																19.95	70%	5.98
Product	1000068	Seaside 009	1799ca_f10f457bc2c1465d93241200a727ce33~mv2.jpg	1799ca_c9ec3d593ea444b09c047973e3ae00f5~mv2.jpg			New Designs;Vacay Mood;Photography																19.95	80%	3.99
Product	1000069	Two Nudes In A Room	1799ca_6890c0132d524037898fd4f4eeb94518~mv2.jpg	1799ca_c9bdbfff868f48529758ed80fca6524c~mv2.jpg			Famous Painters					Ernst Ludwig Kirchner											19.95	80%	3.99
Product	1000070	Olive Trees With The Alpilles	1799ca_e3558bbf03504789aa7511aeba15e838~mv2.png	1799ca_c9a016543a23474f8b339414bf9ee0ab~mv2.png			Prints & Posters;Paintings;Famous Painters;Vincent van Gogh																19.95	80%	3.99
Product	1000071	Trees By Lake Braies	1799ca_ffa72e6a4a3d4fba8ec11f63cccbf484~mv2.jpg	1799ca_c947dcf851694f54bddebf99fdcdd165~mv2.jpg			Photography																19.95	75%	4.98
Product	1000072	Week Days	1799ca_86f22ce4538840c3b4fe8ebee66faa70~mv2.jpg	1799ca_c8add5c4c8a74d589d24f34bc361769e~mv2.jpg			Children;Kids																19.95	60%	7.98
Product	1000073	Baby Giraffe	1799ca_1f49f7d4cbb840abb461a16e22767736~mv2.jpg	1799ca_c814d17d1a2d4584b49e20d8e13b0954~mv2.jpg			Children;Kids																19.95	50%	9.97
Product	1000074	Dog	1799ca_c54ada9836424a619b90a6edb59c8832~mv2.jpg	1799ca_c704730ee27147faa0b35675dcfb2b7c~mv2.jpg			Children;Kids																19.95	70%	5.98
Product	1000075	Perfection	1799ca_d54b2e9c2fef48dc910d5bbad27acf54~mv2.jpg	1799ca_c6c6056763af4f17b23b5188b5ba6648~mv2.jpg			Paintings;Typography;Blue;Prints & Posters;Bestsellers																19.95	50%	9.97
Product	1000076	Temple of Flora	1799ca_e22ab256188c4658b8235e09eb0e08bb~mv2.jpg	1799ca_c46ea3f0c4034b099d656e57fae1c120~mv2.jpg			Illustrations																19.95	60%	7.98
