id	image_link	link	title	product_category	description	price	sale_price	availability	brand	condition	status
LS-PAP2536	https://static.wixstatic.com/media/1799ca_e3bf4c6780b6427390dd5450ff966c2a~mv2.jpg	https://www.artebarte.co.il/prints-posters	There is no place like home	Art Prints,Boho,Portrait,Second Slider,Typography	There is no place like home	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2537	https://static.wixstatic.com/media/1799ca_2d87a7ceff2c4824b60f1a11f7b84352~mv2.jpg	https://www.artebarte.co.il/prints-posters	Red Dance	Art Prints,Famous Artists,First Slider,Painting,Portrait,Red	Red Dance	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2538	https://static.wixstatic.com/media/1799ca_4038a98c80ae4969835fcd46ac3623a5~mv2.jpg	https://www.artebarte.co.il/prints-posters	Flower Market - Tokyo	Art Prints,Botanical,Illustrations,Portrait	Flower Market - Tokyo	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2539	https://static.wixstatic.com/media/1799ca_992aee34f0724a478b9f578ee4470a08~mv2.jpg	https://www.artebarte.co.il/prints-posters	Nude With Oranges	Art Prints,Famous Artists,Painting,Portrait	Nude With Oranges	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2540	https://static.wixstatic.com/media/1799ca_8e110927fa0946999bc17e0b2e5023d6~mv2.jpg	https://www.artebarte.co.il/prints-posters	Beagle	Art Prints,Black & White,Line Art,Portrait	Beagle	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2541	https://static.wixstatic.com/media/1799ca_4112744ad9c14821a43611da95a17a74~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme I	Art Prints,First Slider,Portrait	La Boheme I	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2542	https://static.wixstatic.com/media/1799ca_a28a7c8a3d724a3baed339f6be1c0cc5~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme III	Art Prints,Portrait	La Boheme III	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2543	https://static.wixstatic.com/media/1799ca_f94e8ce180804f09b57bde5dc027cd05~mv2.gif	https://www.artebarte.co.il/prints-posters	Negroni	Art Prints,Dopamine,First Slider,Portrait,Red	Negroni	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2544	https://static.wixstatic.com/media/1799ca_4c862e764fd642adae60b1a224439103~mv2.jpg	https://www.artebarte.co.il/prints-posters	Home sweet home	Art Prints,Boho,First Slider,Portrait,Typography	Home sweet home	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2545	https://static.wixstatic.com/media/1799ca_14f810cbf3f24b459bb74a6294497c70~mv2.gif	https://www.artebarte.co.il/prints-posters	Good food good mood	Art Prints,Boho,Portrait,Typography	Good food good mood	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2546	https://static.wixstatic.com/media/1799ca_4a0c7ef4751644009a23a1f712a353ba~mv2.jpg	https://www.artebarte.co.il/prints-posters	LP Bauhaus	Art Prints,Bauhaus,Portrait	LP Bauhaus	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2547	https://static.wixstatic.com/media/1799ca_1b4055f2b38b411daa87712322c8b902~mv2.jpg	https://www.artebarte.co.il/prints-posters	LP Bauhaus II	Art Prints,Bauhaus,Portrait	LP Bauhaus II	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2548	https://static.wixstatic.com/media/1799ca_07b3322be9394ed39e9dbbfcea1eb096~mv2.jpg	https://www.artebarte.co.il/prints-posters	Black Bauhaus	Art Prints,Bauhaus,Portrait	Black Bauhaus	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2548	https://static.wixstatic.com/media/1799ca_df39fd9c11ff49d3ad09f955f61db9d6~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme II	Art Prints,Boho,Portrait	La Boheme II	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2549	https://static.wixstatic.com/media/1799ca_966e82cfa1c14ad090867cd235c90c1f~mv2.jpg	https://www.artebarte.co.il/prints-posters	Black Bauhaus I	Art Prints,Bauhaus,Portrait	Black Bauhaus I	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2550	https://static.wixstatic.com/media/1799ca_bfcf261c3879436e95d6935248f1575a~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Staircase	Art Prints,Bauhaus,Portrait	Bauhaus Staircase	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2551	https://static.wixstatic.com/media/1799ca_2783409b17e641278da50da05b7e28fb~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Text	Art Prints,Bauhaus,Portrait	Bauhaus Text	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2552	https://static.wixstatic.com/media/1799ca_46ba03d1a83d417fb49a71fc33fb8d17~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Pink/Blue	Art Prints,Bauhaus,Portrait	Bauhaus Pink/Blue	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2553	https://static.wixstatic.com/media/1799ca_7453d755f84e455ba444340a13ca88c0~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Blue	Art Prints,Bauhaus,Portrait	Bauhaus Blue	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
