fieldType,name,productImageUrl,sku,ribbon,price,visible,discountMode,discountValue,cost,digital file,collection,category,color,fieldType
Product,Nourish your Body,1799ca_e95a84af198f481d80b642221cd1ab0b~mv2.jpg;1799ca_1218619765d54271b76fb63e48f6f6bb~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Feed your soul,1799ca_da1948bb44a2484b8bd7e5fc597f4a43~mv2.jpg;1799ca_b29b2188636749d4957e471ae9cc24c6~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Free your mind,1799ca_e92192e576f54c55ab25c43d7340ccee~mv2.jpg;1799ca_c082fa600c1145dd9c7a0f7e8113bbd6~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus bicycle,1799ca_5171bf4edcc14ae6812bfa1c22a0d69c~mv2.jpg;1799ca_14c60dddc0ac4505b5e5c5a2b73339ae~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,By your side,1799ca_40173cb4060d42c4980fe642b746c812~mv2.jpg;1799ca_5c00515d5b694e5eb0bc978d71b67b58~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,H. Matisse #3,1799ca_060a5119f06f4b78870f729b1dfe36f7~mv2.jpg,,,,FALSE,PERCENT,,,,,,,
Product,Ma Chérie,1799ca_4f5cc98ad5834093941bd0013c28bbb5~mv2.jpg;1799ca_576a4cd117444aeda6d8d60cd1668d24~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Don't ever let your fears,1799ca_e4bdf24936034788bd4bd9b97c2e615f~mv2.jpg;1799ca_82682ac96ba047d9a161349ba06d2bde~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Red Papiers Découpés II,1799ca_de8402786cab4c69adf8778d52e430ac~mv2.jpg;1799ca_d3b563080eb845aea12b38b271e14224~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bright Colorful Palette,1799ca_a7ac6b1b2b2447969ec816422c3fc328~mv2.jpg;1799ca_e415f72f363343bd8452083bf98c01c7~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Red Papiers Découpés,1799ca_6d371bf1f68947c7946119cdccf28b13~mv2.jpg;1799ca_65c2f0dca28f4165976d2ec1b65686de~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Amalfi Dolce Vita,1799ca_1743412c0cd54f14bc38ecda9a9509ea~mv2.jpg;1799ca_90d08d511dde4fdeb2501bcb90584e23~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Squeeze the lemon,1799ca_7b1c74abd6954624945daa764ab8ade1~mv2.jpg;1799ca_78c0192126b7422eacc71d7facaf723c~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Green Abstract,1799ca_4938c76e78c446969cd9565c04681729~mv2.jpg;1799ca_50c5cc591e28444eb7e3220f4095f673~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Black Nude,1799ca_d9e6f3f82d5c41918993640d6f9825f2~mv2.jpg;1799ca_6b155424bc9d431ea1e942f6d9d117fa~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Peaceful Presence III,1799ca_0b853ed4081e4b618ed33114140b9b3d~mv2.jpg;1799ca_5248301346f24e12b222301315a66b0c~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Peaceful Presence II,1799ca_24693341f879433c9847d8a1a76b21a6~mv2.jpg;1799ca_b269f259f9e7414a81b04cca5c6d6366~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Red Chair,1799ca_c8d1e3828587417ea2faf21ede204b4b~mv2.jpg;1799ca_cd2c6bec05774884816b45c41ad45a2a~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Shadow,1799ca_eebaa17fd9bf40ddbaa9afae9bf579a1~mv2.jpg;1799ca_0a0d4d7f5e794ba9b0fce4418e7867c4~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Simplicity Series III,1799ca_44fb681b6c954d6a9d63673e8b921858~mv2.jpg;1799ca_fa3124f2464144259f1a688993fb0170~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Simplicity Series II,1799ca_64386a895b1840e6a3807f297115c406~mv2.jpg;1799ca_2c6996e2f1dd4f8fb20044fbb518732a~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Artwork Series II,1799ca_b815152dcd1846c492d2c52a8947904c~mv2.jpg;1799ca_d5e5cf4b1cb843a6b44b6b525041326c~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Green Pear,1799ca_e2f1b04a8b4b4f64971fc19b6c1afb52~mv2.jpg;1799ca_0a8c0497cb644ae69e8102b859ea3a77~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Red Watercolor,1799ca_cfb0e5f30ccf4151bb9ec554111a6da5~mv2.jpg;1799ca_c2887be34f51434eac7f9704f1c34600~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Hilma af Klint #009 - New,1799ca_a2256d2072904abaa029ea6b6e397249~mv2.jpg;1799ca_730c0c7b4bf54c728422b2f3f06d3520~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,She's a mess of gorgeous chaos,1799ca_2a76eba0ae05423aab7f3497aee13bdd~mv2.jpg;1799ca_c451fa93884549df90e9a8d6d38387a8~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Whispered Elegance,1799ca_e94e389c4fc544e7b974f2de73881bea~mv2.jpg;1799ca_f0dc1f79b9bd4a97babacf4910db5aff~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Orange & Yellow,1799ca_a451a26a8b074b52b6b1e8b7d1890bb9~mv2.jpg;1799ca_172f40a7759442bcafcaa2d367121a36~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Nordic Boat,1799ca_f7e2d339914d4cda938f28ba4c7f01a2~mv2.jpg;1799ca_88910249bbf949558f4c53fb30729ff8~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Nordic Tree,1799ca_cc1ff5b5431140ea8fff363eea672713~mv2.jpg;1799ca_ea1c0b2e4654491d98fe5509ea525108~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Blue Watercolor,1799ca_b3ca4d4acda445d391a53fe6f4be35f1~mv2.jpg;1799ca_01bbf5da4ad54db6ad889918ce8aa19d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Watercolor,1799ca_1daecc3f6eaf4f49960fcc977e243e80~mv2.jpg;1799ca_d1f5ebc4619b4691a5a5b8e9d850758d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,La Bohéme I,1799ca_689f3b9eb80446b795eb607cca924f53~mv2.jpg;1799ca_20ceb69ac24d41b999c60b9fbd114603~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Vase & Flowers,1799ca_6a3cec5d3ad3474da5134843cebd9a62~mv2.jpg;1799ca_63d62e421ed648ce8e2c1bae35a97dfa~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Blue Palm Tree,1799ca_4a0712b7640048428f396f9575211dde~mv2.jpg;1799ca_d6fa3ec765f947ac80f54a0ddd4cd62d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bluish Flower,1799ca_99aeffbd7e1b408fb6bb459a8734182e~mv2.jpg;1799ca_0a7611aca118406387584ba9b924e4c6~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Shape of Flowers,1799ca_e802e0111c7e47bcad6cd687449c893a~mv2.jpg;1799ca_228c8b2b47c9483c8f044c45d184c9b3~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Landscape with Poplars,1799ca_6d1dc5fd34af4dcfa239116ad1c4aab4~mv2.jpg;1799ca_6440d86b1abf405e9e964162f3e420e7~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Black Papier II,1799ca_68e23fe705444394960a708150125407~mv2.jpg;1799ca_db8a0519b98042cda2777da48beaba5d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Black Papier,1799ca_266e15005126416bb558ef492e5a2502~mv2.jpg;1799ca_9bb5793d977b4984a2dd010fc07bb74c~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Hey,1799ca_93d34eee501642f88ceb57156cbcfb8e~mv2.jpg;1799ca_e617af19c7e8434b8b3ef6c5dc33ccc7~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,hi,1799ca_ee2b946a74a3432d8d488d50afcb58d1~mv2.jpg;1799ca_d35eeeb68a35465db20fdda5fa487f6e~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Love is Enough,1799ca_3f434584e08f4465b9bfe257db594837~mv2.jpg;1799ca_84fd92486c5548d18a5a73a03ffa3c50~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Timeless Traces,1799ca_9c02df22f83d4ecaa543a0c7bae4dc5b~mv2.jpg;1799ca_7a0367d57d354786bb19058cc3f1b418~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Nordic Elegance,1799ca_a58607d622cb4ae78f17d745bc7d148f~mv2.jpg;1799ca_55a0299fa52b4f3db1cd5512384f3b36~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Pure Nordic Lines,1799ca_2944450d0c7846e99e8bdd6a81734b1b~mv2.jpg;1799ca_c8eabbd8f49c4a4f88d24569f7595d42~mv2.jpg;1799ca_4ff107caaef94f1989639ff8e319e490~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Arctic Abstractions,1799ca_201d4dbde4e8415ebd30095caf20d16a~mv2.jpg;1799ca_455beec19b464ce89c27d7c5759660c5~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Elegant Silhouettes,1799ca_096bb1d9581a4a3181dcf8380f290825~mv2.jpg;1799ca_e7950fd2a9934c99baf3aa4e01e5bab4~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 23,1799ca_2ec543075cfd4b68bd205b5b88a1b227~mv2.jpg;1799ca_487d582e08ad4953badfe0d57d758b35~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 22,1799ca_d5ff3893540f4ff684ba214737c91dba~mv2.jpg;1799ca_371e19fcb2ba4460a15a2eae0be216f1~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 21,1799ca_b36fac15147c4a98a1d8a8772e8728af~mv2.jpg;1799ca_d45bb4e1623c4d16b61de8633807d865~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 19,1799ca_79c1108284d84ac18aad11e38ce527f8~mv2.jpg;1799ca_23966ebb59ef486088bf041e1a7b2c4e~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 18,1799ca_720d4a86ecc14508a6677bf718535ad3~mv2.jpg;1799ca_cc73d8e4c1184ef7a3c200e2c6d5fe95~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 17,1799ca_fce0288e18d64d4899c21e03cc3481e9~mv2.jpg;1799ca_0d6bf6ef324645b4b2887a43cfff54e4~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 16,1799ca_6c45e0f5210945be926dc0608fe6bf9d~mv2.jpg;1799ca_2c85d0e14f80421ebaccab89cbceeb30~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 14,1799ca_2e264ca55d5b4078b7b4a8713ac14d60~mv2.jpg;1799ca_f760f36500994ef7948095550286d89e~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 13,1799ca_78c40169845345d38a56a20ca2c2ed31~mv2.jpg;1799ca_8069b2151ad540e7a60ca0fa85fc0828~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 12,1799ca_ad3870498bce4618b97cb13a6ed8e252~mv2.jpg;1799ca_699e15e1e29642f880a044728d694c3c~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 11,1799ca_8ae79348854a4d5291ac78af617d92c8~mv2.jpg;1799ca_3d12f73f1a4e421eb866720effc9e18a~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 10,1799ca_582094697c7c4bcfa14ad06839b29b08~mv2.jpg;1799ca_e21b49f515d94cff9092425356264a41~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 09,1799ca_03213fdf4a254aaebcc06e6ff3ba731b~mv2.jpg;1799ca_d7e0a945d1fd4eaa97163cb9ba2429be~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 08,1799ca_46064de0483f4bc8a7f65513817fa370~mv2.jpg;1799ca_2d6d2cf8056545fc857133a7d16e0a5d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 07,1799ca_c009cf79bf704c29a68cca7e857bb1be~mv2.jpg;1799ca_6aab6df0a89e40279e66b1329bc8e169~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 06,1799ca_b6d172273bf34fb59982c0eea39db0d8~mv2.jpg;1799ca_32ad049920a043d682b670ea79477e1f~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus 05,1799ca_d55334f439f243ad972327ac243f5dff~mv2.jpg;1799ca_ca2de9a980a14eddb8c46d32f1e46639~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
